集装箱编号,货物编号,,,,,,
1,3,200,262,355,514,574,
2,26,57,246,322,436,494,687
3,72,159,263,379,531,587,
4,1,120,226,334,463,585,691
5,45,117,229,424,470,619,665
6,133,191,387,456,592,673,
7,27,202,336,417,523,631,
8,41,74,217,314,457,593,666
9,93,151,263,429,536,588,
10,52,154,229,390,498,605,696
11,118,225,333,431,546,594,
12,36,107,213,313,465,607,
13,23,31,138,341,355,502,611
14,72,136,259,302,438,541,689
15,99,233,309,459,524,604,
16,69,140,241,369,497,603,
17,27,100,219,329,433,538,577
18,73,118,236,348,448,558,
19,36,132,238,352,467,556,660
20,34,135,247,354,467,571,652
21,100,212,320,381,528,641,
22,3,154,293,358,492,611,
23,10,113,217,361,436,545,622
24,1,184,236,413,506,627,700
25,76,235,269,423,573,676,
26,11,196,299,407,517,619,
27,28,135,264,304,463,584,642
28,98,212,312,380,534,567,667
29,73,202,275,401,595,634,
30,106,206,239,345,452,571,669
31,167,194,286,400,511,632,
32,103,145,261,428,473,577,683
33,93,177,327,437,536,641,
34,104,161,289,366,477,617,
35,61,149,178,381,432,546,657
36,63,125,323,401,463,577,
37,44,92,275,391,454,612,
38,19,91,184,305,418,512,569
39,37,125,273,325,482,589,
40,18,107,229,319,426,535,664
41,44,138,280,387,424,601,
42,10,66,227,324,460,564,670
43,48,85,291,399,505,613,
44,20,135,163,280,379,483,595
45,1,196,303,313,434,567,
46,18,104,185,348,404,480,608
47,7,119,271,323,503,588,694
48,98,209,356,433,523,672,695
49,180,287,358,499,630,,
50,10,46,180,306,401,513,624
51,200,246,414,444,569,,
52,4,63,205,319,444,483,624
53,74,148,306,392,458,548,645
54,108,232,324,468,591,642,
55,44,113,285,389,497,604,
56,9,124,224,337,462,520,668
57,112,213,324,427,507,633,654
58,67,189,370,472,573,,
59,8,70,199,306,427,540,647
60,54,145,216,382,482,589,609
61,109,136,231,434,551,608,
62,52,109,210,287,494,521,631
63,42,125,252,378,468,557,679
64,91,211,315,424,532,644,
65,54,156,264,375,479,597,
66,8,116,228,332,437,548,657
67,55,170,328,399,531,611,
68,19,126,211,380,444,553,678
69,86,197,306,414,515,628,
70,27,134,266,374,479,523,644
71,125,228,278,459,528,634,
72,62,171,276,391,476,599,677
73,144,218,324,375,558,673,
74,73,166,299,412,500,608,
75,13,139,249,356,385,563,657
76,83,191,297,314,430,586,653
77,70,154,361,374,478,587,
78,95,123,285,405,433,625,663
79,94,161,292,460,571,683,
80,18,126,240,321,460,626,
81,35,145,207,343,416,524,623
82,29,216,248,358,470,542,
83,44,61,208,315,458,559,692
84,10,158,314,432,498,605,
85,23,98,242,283,433,582,672
86,17,143,302,341,524,606,
87,18,124,280,285,468,583,631
88,101,188,284,404,522,572,
89,51,157,213,388,397,588,700
90,99,218,315,368,549,565,
91,63,170,279,289,491,598,
92,4,30,134,326,378,533,563
93,47,180,288,374,422,568,638
94,45,206,256,370,477,574,
95,44,114,216,334,438,544,621
96,59,157,270,374,522,651,
97,25,127,235,330,438,581,660
98,68,204,299,407,507,618,
99,31,131,293,405,456,580,690
100,123,239,312,415,568,675,
101,33,191,277,310,485,539,696
102,60,167,317,400,572,664,
103,68,192,236,383,513,610,
104,31,64,235,262,459,555,672
105,79,202,295,393,439,534,
106,44,149,163,364,443,516,684
107,92,198,304,323,489,539,645
108,55,267,330,484,588,686,
